,general_color_name,color_name,hex,red,green,blue
0,white,Moon Shimmer,#F6F7EE,246,247,238
1,white,Frosted Dawn,#F7F6EE,247,246,238
2,white,Absolute White,#F7F5EE,247,245,238
3,white,Cliff Walk,#F3F2EC,243,242,236
4,white,Morning Light,#F8F2E4,248,242,228
5,white,Fine Cream,#F6F2E5,246,242,229
6,white,Jasmine White,#F2EFE5,242,239,229
7,white,Magic White,#EEEEE7,238,238,231
8,white,Timeless,#F0EDE4,240,237,228
9,white,Pure Brilliant White,#EDECE7,237,236,231
10,white,Cloudy Dreams,#ECEDE7,236,237,231
11,white,Rock Salt,#E9EAE9,233,234,233
12,white,Sloe Flower,#E9E9E7,233,233,231
13,white,Cream Tea,#F6ECD4,246,236,212
14,white,White Chiffon,#EEE9DE,238,233,222
15,white,Calm Clouds,#E8E8E5,232,232,229
16,white,White Mist,#E8E8E4,232,232,228
17,white,Porcelain Doll,#E8E7E3,232,231,227
18,white,Vanilla White,#F0E8DA,240,232,218
19,white,Orchid White,#F4E9D4,244,233,212
20,white,Milky Pail,#EBE7DE,235,231,222
21,white,Almond White,#EFE7DA,239,231,218
22,white,Classic Cream,#F5E8D2,245,232,210
23,white,Magnolia,#F4E7D4,244,231,212
24,white,Gardenia,#F1E8D4,241,232,212
25,white,Bone China,#ECE6D8,236,230,216
26,white,Delicate Seashell,#EDE3D5,237,227,213
27,white,Summer Linen,#EAE3D7,234,227,215
28,white,Natural Calico,#ECE2D2,236,226,210
29,white,Letters Unread,#E1E2DD,225,226,221
30,white,Vintage Chandelier,#E6E1D8,230,225,216
31,white,Natural Wicker,#EDE0D1,237,224,209
32,white,Barley Twist,#EDE3CD,237,227,205
33,white,Barley White,#EDE3CD,237,227,205
34,white,Cotton Cream,#F2E2C6,242,226,198
35,white,Cornish Cream,#F4E6C0,244,230,192
36,white,Pearl Grey,#DBDCDA,219,220,218
37,white,Celtic Cream,#F2DBBA,242,219,186
38,white,Boutique Cream,#E0DBCB,224,219,203
39,white,Ivory,#E8D6BB,232,214,187
40,white,Feather Flock,#CBCDCC,203,205,204
41,red,Jasmine Shimmer,#F8ECE6,248,236,230
42,red,Spring Rose,#F3E7EF,243,231,239
43,red,Pink Skies,#EFE7E0,239,231,224
44,red,Blossom White,#EEE2DF,238,226,223
